filial ; ano_mes ; cod_vendedor ; total_vendido
05 ; 201701 ; 7 ; 20
08 ; 201703 ; 7 ; 10
12 ; 201701 ; 7 ; 10
17 ; 201702 ; 6 ; 10
41 ; 201704 ; 6 ; 10
19 ; 201701 ; 6 ; 10
12 ; 201712 ; 6 ; 10
15 ; 201710 ; 6 ; 10
10 ; 201711 ; 6 ; 10
05 ; 201701 ; 7 ; 20
08 ; 201703 ; 7 ; 10
12 ; 201701 ; 7 ; 10
17 ; 201702 ; 6 ; 10
41 ; 201704 ; 6 ; 10
19 ; 201701 ; 6 ; 10
12 ; 201712 ; 6 ; 10
15 ; 201710 ; 6 ; 10
10 ; 201711 ; 6 ; 10
05 ; 201701 ; 7 ; 20
08 ; 201703 ; 7 ; 10
12 ; 201701 ; 7 ; 10
17 ; 201702 ; 6 ; 10
41 ; 201704 ; 6 ; 10
19 ; 201701 ; 6 ; 10
12 ; 201712 ; 6 ; 10
15 ; 201710 ; 6 ; 10
10 ; 201711 ; 6 ; 10
