filial	ano_mes	cod_vendedor	total_vendido
10	26/05/2017	vd01	124
11	1/02/2017	vd02	147
23	9/04/2017	vd04	11
12	14/05/2017	vd05	155
13	9/03/2017	vd02	198
18	3/04/2017	vd03	120
24	14/06/2017	vd04	55
14	1/02/2017	vd02	141
13	14/05/2017	vd03	55
16	17/04/2017	vd04	15
14	2/04/2017	vd02	155
26	3/05/2017	vd03	198
13	1/04/2017	vd02	15
11	9/05/2017	vd04	155
15	14/04/2017	vd02	111
16	1/05/2017	vd02	15
13	14/03/2017	vd02	155
14	14/02/2017	vd04	155
19	10/04/2017	vd03	13
13	14/06/2017	vd05	77
v16	2/03/2017	vd02	125
18	12/04/2017	vd05	132
22	2/05/2017	vd02	144
19	18/06/2017	vd05	117
27	11/04/2017	vd02	178	
